Sex	Height	HeightF	HeightM	ChildFF	ChildF	ChildMM	ChildM
male	182	181	164	3	2	2	2
male	176	177	167	4	2	3	2
male	180	183	168	3	3	5	3
male	182	181	168	2	3	4	1
male	185	175	175	4	3	1	3
male	174	180	167	5	2	3	3
male	183	180	165	2	4	2	4
male	170	184	171	6	1	2	1
male	174	175	168	1	2	2	2
male	189	181	172	1	1	4	1
male	180	170	165	5	3	5	3
male	176	182	156	3	2	2	2
male	192	186	164	6	3	3	3
male	202	196	179	3	2	3	2
male	176	174	160	3	2	2	2
male	187	181	170	3	3	2	3
male	185	185	176	4	2	2	2
male	185	180	165	3	3	3	3
male	181	183	170	2	2	4	2
male	176	178	155	2	2	4	2
male	180	174	170	2	2	6	2
male	181	185	170	5	3	3	2
male	173	173	168	1	3	2	3
male	174	181	150	2	2	2	2
male	181	165	177	1	3	2	4
male	178	184	156	5	3	1	3
male	184	186	166	3	3	3	1
male	173	180	160	2	3	5	3
male	181	179	165	5	3	1	3
male	189	180	168	2	1	3	1
male	170	186	158	3	2	1	2
male	187	185	172	4	3	2	3
male	187	188	163	3	1	4	1
male	189	190	160	2	2	3	2
male	188	178	170	5	2	1	3
male	174	176	168	2	3	2	2
male	175	175	160	1	5	6	5
male	187	170	172	6	4	2	2
male	186	175	172	4	2	3	2
male	173	170	168	2	3	3	3
male	192	186	170	2	4	2	4
male	185	175	170	4	2	3	2
male	175	179	167	4	2	4	2
male	176	170	167	2	3	2	3
male	193	183	180	2	2	5	2
male	178	176	168	7	2	5	2
male	182	180	164	3	2	2	2
male	192	180	175	5	5	2	1
male	181	190	174	2	1	4	1
male	176	180	172	4	2	2	2
male	192	180	180	2	2	1	2
male	174	179	169	6	2	2	2
male	185	184	165	2	2	3	2
male	184	179	173	3	2	3	2
male	184	184	168	3	3	3	3
female	193	198	176	2	1	2	1
female	167	172	162	2	2	4	2
female	155	178	163	3	1	2	2
male	180	182	163	2	3	3	3
female	163	180	159	3	2	3	2
female	170	174	169	5	2	2	2
female	180	196	172	3	3	2	3
female	156	178	160	4	3	3	3
male	183	192	169	2	1	1	2
female	160	185	155	4	2	2	2
female	160	178	164	4	2	3	2
female	168	178	165	4	2	3	2
