Sex	Height	HeightF	HeightM	ChildFF	ChildF	ChildMM	ChildM
female	176	194	173	5	3	2	3
female	182	197	183	1	2	2	2
female	170	180	180	6	1	2	1
male	186	185	170	5	3	1	2
male	177	187	163	2	2	2	2
male	192	193	180	5	3	4	3
female	168	186	178	3	1	3	1
male	186	175	178	4	2	3	2
female	163	170	166	3	2	2	2
male	174	174	163	3	3	2	3
female	170	190	165	2	2	3	2
male	184	178	175	3	2	3	2
female	161	175	155	3	2	1	2
male	183	170	174	3	1	5	1
female	171	180	170	2	3	4	3
female	163	178	164	2	2	1	2
female	181	183	170	2	1	3	1
female	172	194	153	2	4	3	4
female	171	188	168	2	2	2	2
female	177	193	184	3	3	3	3
female	171	190	181	3	2	3	2
female	170	180	170	1	4	2	4
female	160	184	155	1	3	5	3
male	185	173	173	2	4	3	3
female	169	184	168	3	2	5	2
female	171	182	168	3	3	2	3
female	168	193	168	1	3	3	3
female	170	176	169	4	2	2	2
female	160	175	158	3	3	1	3
female	172	175	169	2	2	4	2
female	183	192	175	3	2	3	2
female	168	190	166	3	2	2	2
female	160	173	159	2	3	3	3
female	173	183	168	2	2	2	2
female	172	176	172	2	2	2	2
female	175	186	170	2	3	2	3
male	176	178	158	2	2	2	2
female	172	182	174	2	2	3	2
female	168	188	173	2	3	3	3
male	172	173	169	7	3	4	3
female	166	187	167	2	2	4	2
male	180	181	164	2	2	5	2
female	162	185	171	3	2	2	2
male	188	180	182	3	2	2	2
male	191	185	165	2	1	3	4
female	170	185	175	6	5	1	2
female	171	187	163	2	2	2	2
female	158	170	158	2	2	2	2
female	175	185	175	3	3	3	3
female	175	184	174	2	2	3	2
male	189	181	167	2	4	6	4
female	168	170	165	4	2	3	3
male	180	177	169	2	3	2	3
female	165	177	170	2	2	6	3
female	178	208	165	1	1	3	1
male	176	193	168	3	6	3	6
male	174	174	169	1	3	3	3
male	190	178	184	1	2	2	2
female	178	185	174	2	1	3	1
female	168	173	169	3	2	1	2
female	182	195	180	3	3	3	3
female	171	182	162	5	4	1	2
male	190	181	180	5	4	3	4
male	180	180	165	3	1	4	2
female	167	180	167	2	1	1	1
female	163	176	167	2	2	3	2
female	180	191	175	6	2	3	2
female	168	184	174	3	2	2	2
female	170	186	167	2	3	2	3
female	172	183	172	3	2	1	2
female	176	187	174	3	2	2	2
female	171	175	161	3	3	2	3
female	171	180	168	4	2	2	2
female	170	180	170	2	3	3	3
female	180	184	175	3	3	2	3
male	186	179	168	2	2	3	2
male	179	185	169	2	2	1	2
male	186	180	160	2	2	2	2
male	176	184	167	2	2	2	2
female	178	182	175	2	1	5	1
female	168	168	178	7	2	2	2
male	193	195	170	2	3	3	2
male	169	173	164	1	3	2	3
male	185	185	175	2	2	2	2
female	175	182	173	3	3	2	1
male	183	187	165	2	4	5	4
female	168	188	167	2	2	1	2
female	175	183	167	3	2	3	2
female	175	185	168	3	2	2	2
female	170	193	171	3	2	2	2
female	160	180	155	2	2	9	3
female	169	174	170	3	2	2	2
female	172	180	180	2	2	3	2
female	166	169	180	3	3	2	2
male	196	190	176	5	2	2	2
female	178	184	173	2	3	3	2
male	178	176	170	2	4	5	4
female	173	183	173	2	2	2	1
female	176	183	174	2	3	1	3
female	166	185	164	2	2	3	2
female	164	182	160	2	2	2	1
female	172	178	170	2	2	2	2
female	165	184	163	2	4	2	2
female	161	182	164	4	2	1	2
female	170	193	165	2	2	2	2
male	200	188	179	3	3	1	3
female	176	178	177	4	2	9	3
female	158	180	162	3	2	2	2
female	155	169	160	2	4	2	3
male	183	185	167	3	2	2	2
female	174	180	172	2	2	2	2
male	175	178	173	3	3	2	2
male	192	197	169	2	1	3	1
male	189	194	178	2	3	2	2
female	175	183	163	3	3	6	3
female	184	192	177	2	2	1	2
female	169	183	173	2	2	3	2
female	167	178	172	3	2	1	2
male	181	180	175	3	3	4	3
male	196	190	180	2	4	2	4
female	171	180	170	5	2	4	2
female	161	178	166	3	2	2	2
male	197	169	174	3	2	3	2
male	178	180	157	2	2	2	2
female	175	183	162	3	4	5	2
female	172	184	168	1	3	1	2
male	180	176	169	7	2	1	2
female	163	177	163	3	3	2	3
female	160	171	170	3	1	3	4
female	164	168	160	2	2	2	3
female	162	175	165	3	2	3	2
female	162	180	176	5	3	3	4
female	160	178	160	3	2	2	2
male	185	185	175	5	3	3	3
male	183	180	175	1	1	2	2
female	178	191	163	3	2	3	2
female	175	190	173	2	2	3	2
female	173	184	165	3	4	2	4
male	172	169	160	4	2	6	2
male	172	186	160	2	2	2	2
female	168	188	166	5	2	5	2
female	168	187	162	3	3	2	3
female	172	186	169	2	2	3	3
female	176	170	175	4	6	2	6
female	163	180	165	2	4	2	4
female	179	184	180	2	4	2	4
female	175	185	169	3	2	1	2
male	192	182	180	3	3	1	3
female	180	192	176	2	2	2	2
male	176	183	170	2	2	2	2
male	188	178	160	3	3	3	3
female	173	176	167	4	4	3	2
female	170	172	170	2	5	2	3
male	186	189	162	4	2	5	2
female	163	172	178	1	2	3	2
female	171	184	174	2	3	2	3
male	176	178	166	4	2	2	2
female	177	193	172	3	2	2	2
male	192	191	173	1	2	2	2
female	166	173	165	2	2	3	2
female	167	181	173	4	2	1	2
female	177	197	170	2	2	2	2
female	159	178	158	4	4	6	2
female	160	180	160	1	2	2	2
female	158	180	170	7	3	3	3
female	169	186	162	2	2	3	2
male	193	195	171	2	3	3	2
female	173	189	169	3	2	4	2
male	188	173	180	1	3	3	3
